5302,2603738,,Leipzig,"1897, 98",,"In Nacht und Eis. Die norwegische Polarexpedition 1893-1896 ... Mit einem Beitrag von Kapitän Sverdrup, etc. (Supplement. Wir Framleute. Von Bernhard Nordahl. Nansen und ich auf 86° 14′. Von Hjalmar Johansen, etc.)","Nansen, Fridtjof","SVERDRUP, Otto Neumann.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002603738,British Library HMNTS 10460.dd.30.
6506,3206678,,"pp. x. 323. Trübner & Co.: London, 1888",,,"The Autobiography of Mark Rutherford and Mark Rutherford's Deliverance. Edited by his friend, Reuben Shapcott. [By William Hale White.] Second edition: corrected and with additions","Rutherford, Mark","White, William Hale",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003206678,British Library HMNTS 012633.h.39.
2405,1064289,"New edition, by A. T. Eliot.",Newcastle-upon-Tyne,1834,,"[The Boke named the Gouernour deuised by Sir T. E., knyght. B.L. Few MS. notes.]: The boke named the Governour","ELYOT, Thomas - Sir","ELIOT, Arthur Turberville.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001064289,British Library HMNTS 521.g.23.
319,130655,,London,1805,Didier & Tebbet,"The Geo-chronolgy of Europe; or, an Epitome of the geography and chronology, with the ... history of the several kingdoms ... comprised in that quarter of the world, adapted to the capacities of children ... Illustrated by a ... map ... on which is described the chronological succession of the sovereigns of the various countries ... by M. Wauthier","Aspin, Jehoshaphat","WAUTHIER, J. M.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000130655,British Library HMNTS 10004.d.7.
1559,704890,,Lugduni Batavorum,1826,,M. Tullii Ciceronis Paradoxa ad M. Brutum. Recensuit et animadversionibus instruxit H. J. Borgers: Single Works. Paradoxa. Latin,"Cicero, Marcus Tullius.","BORGERS, H. J.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000704890,British Library HMNTS 720.g.27.
6410,3142708,,London,1861,,"The Romance of a Dull Life. By the author of “Morning Clouds,” etc. [Mrs. A. J. Penny.]",,"Penny, A. J. (Anne Judith)",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003142708,British Library HMNTS 12632.i.21.
2867,1408486,,London,[1853],,"The Course and Tendency of history since the overthrow of the Empire of Napoleon I. by G. G. G. Translated from his “Introduction to the History of the Nineteenth Century” by M. Sernau, assisted by J. M. Stephens, to vindicate Professor Gervinus from his English translator in H. G. Bohn's One Shilling Series","GERVINUS, Georg Gottfried.","SERNAU, Moritz.|STEPHENS, J. M. - Rev",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001408486,British Library HMNTS 9007.f.12.
7981,3919890,,London,1875,,"A Wife's Story, and other Tales. By the author of “Caste,” etc. [Miss Jolly.]",,"JOLLY, Emily - Miss",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003919890,British Library HMNTS 12636.d.1.|British Library HMNTS Dex.264.
2105,929637,,London,1804,"Lackington, Allen, & Co.","Guilty or not Guilty: a comedy, in five acts, etc. [Based on A. H. J. Lafontaine's novel “The Reprobate,” translated by Mary Charlton.]","DIBDIN, Thomas John.","LAFONTAINE, August Heinrich Julius.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000929637,British Library HMNTS 11779.e.26.
6542,3212860,,"pp. 7. [Privately printed: Bodmin, 1887.]",,,"Lines in Memory of T. S. Bolitho. [In verse. Signed: H. S. S., i.e. H. S. Stokes.]","S., H. S.","BOLITHO, Thomas Simon.|STOKES, Henry Sewell.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003212860,British Library HMNTS 011652.f.41.
3987,1941961,,Dorpat,1875,,"Liefländische Historia. Continuation 1690 bis 1707. ... Mit Vorwort, Nachweisen und Personenregister versehen von J. Lossius","KELCH, Christian.","LOSSIUS, Johannes.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001941961,British Library HMNTS 9414.g.10.
7542,3678531,,London,1869,,He knew he was right: Single Works,"Trollope, Anthony","STONE, Marcus.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003678531,British Library HMNTS 12620.dd.13.
2891,1423225,,London,1878,,"Six Months in Ascension. An unscientific account of a scientific expedition, etc. [With an introduction by Sir D. Gill.] With a map","GILL, Isobel - Lady","GILL, David - Sir, K.C.B",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001423225,British Library HMNTS 10097.b.7.
3201,1558544,,London,1883,Kegan Paul & Co.,A Visit to Ceylon ... Translated by Clara Bell,"Haeckel, Ernst Heinrich Philipp August","BELL, Clara - Translator",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001558544,British Library HMNTS 010058.ee.41.|British Library OC T 13449
4018,1959026,,Budæ,1833,,Magistri S. De Keza de originibus et gestis Hungarorum libri duo. Post binas A. Horanyi editiones tertiam ... in lucem emittit J. Podhradczky,"KÉZA, Simon de.","PODHRADCZKY, József.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001959026,British Library HMNTS 9314.c.20.
7842,3857177,,Wien,1887,,Ithaka ... Mit 5 Aquarellfarbendrucken ... nach Originalen von L. H. Fischer,"WARSBERG, Alexander von - Baron","FISCHER, Ludwig Hans.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003857177,British Library HMNTS 10125.f.12.
1963,877399,,London,1880,Chapman & Hall,Walks through the City of York. By R. Davies ... Edited by his widow (Elizabeth Davies),"DAVIES, Robert - F.S.A","DAVIES, Elizabeth - of York",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000877399,British Library HMNTS 10360.ff.8.
2366,1043207,,Dunfermline,1814,Printed for the author J. Miller,"Edwin and Emma: a pastoral tale, etc. [By David Black, in verse]",,"BLACK, David - Minister of Lady Yester's, Edinburgh",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001043207,British Library HMNTS 11642.bbb.4.
1522,687838,,London,[1886.],C. Fox,Wonderful Ching-Ching. His further adventures. [By E. H. Burrays.],,"BURRAGE, Edwin Harcourt.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000687838,British Library HMNTS 12620.g.20.
5691,2791236,"The eighteenth edition ... Remodelled, augmented, and improved ... By E. Mogg.",London,1826,Longman & Co.,"[Paterson's Roads ... The sixteenth edition ... Remodelled, augmented, and improved ... By Edward Mogg.]","PATERSON, Daniel.","Mogg, Edward.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002791236,British Library HMNTS 10349.f.1.|British Library HMNTS 579.e.30.
8271,4114986,[Another edition.] [With a prologue and epilogue by David Garrick.],London,1777,J. Wenman,[Barbarossa. A tragedy. As it is performed at the Theatres-Royal in Drury-Lane and Covent-Garden. The fourth edition. [By John Brown.]],"BROWN, John - Vicar of Newcastle-upon-Tyne","GARRICK, David.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum004114986,British Library HMNTS 643.g.6.(9.)|British Library HMNTS 11770.g.1.(34.)|British Library HMNTS 1474.bb.9.(26.)
5813,2877827,,London,1827,,"Sketches of Persia, from the journals of a traveller in the East. [By Sir John Malcolm.]: Appendix",,"Malcolm, John - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002877827,British Library HMNTS 1046.f.16.|British Library OC T 11506
6292,3084372,,v Praze,1892 [1891]-1905,,"Dějiny Čech a Moravy nové doby. (kn. 1, 2.) Sepsal Dr. Antonín Rezek. (kn. 3-6. Pokračuje Josef Svátek.-kn. 7-10. Pokračuje Justin Prášek.)","REZEK, Antonín.","PRÁŠEK, Justin V.|SVÁTEK, Josef.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003084372,British Library HMNTS 09315.e.63.
4545,2269268,,London,1875,,My Love's she's but a lassie. [A novel.] By the author of “Queenie” [May Crommelin],,"CROMMELIN, Maria Henrietta de la Cherois.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002269268,British Library HMNTS 12636.f.7.
7957,3911480,"New edition, revised by H. Reeve.",London,1855,,"[A journal of the Swedish Ambassy, in the years 1653 and 1654, from the Commonwealth of England, Scotland, and Ireland. Written by the Ambassador, the Lord Commissioner W. With an appendix of original papers. [Edited by C. Morton.]]","WHITELOCKE, Bulstrode - the Elder","REEVE, Henry - C.B",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003911480,British Library HMNTS 9435.d.7.
4687,2328261,,"London [printed], New York",1866,,"Eastward. [A visit to Egypt and the Holy Land.] With ... illustrations from photographs, engraved by J. Swain","MACLEOD, Norman - D.D., the Younger","SWAIN, Joseph - Engraver",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002328261,British Library HMNTS 10076.g.17.
1512,683966,A new edition.,Chichester,[1804?],J. Seagrave,"[[The Chichester Guide: containing, an account of the antient and present state of the City of Chichester and its neighbourhood, etc.] [By Alexander Hay.]]",,"HAY, Alexander - Rev",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000683966,British Library HMNTS 10360.ff.4.(2.)
5137,2523708,,London,1878,,Field-Marshal Count Moltke's Letters from Russia. Translated by R. Napier: Letters,"MOLTKE, Helmuth Carl Bernhard von - Count","NAPIER, Robina - Mrs",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002523708,British Library HMNTS 10290.b.44.
7164,3500952,,London,1899,"Simpkin, Marshall & Co.","How the Jubilee Fleet escaped Destruction, and The Battle of Ushant: or, two episodes in the career of a naval officer. Second edition. (Illustrated by F. T. Jane.)","STEVENSON, Philip L.","JANE, Frederick Thomas.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003500952,British Library HMNTS 012624.k.18.
3184,1552913,,Hull,1835,J. Purdon,"Some Remarks on the Government of Workhouses, in a letter [signed, J. H.] addressed to Sir Culling Eardley Smith, Bart","H., J.","SMITH, afterwards EARDLEY, Culling Eardley - Sir, Bart",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001552913,British Library HMNTS 10347.e.34.(11.)
4083,1999689,[Another edition.],Bruxelles,1839,,[Histoire d'Allemagne depuis les temps les plus reculés jusqu'à l'année 1838 ... Traduite de l'Allemand sur la onzième édition par A. Guinefolle.],"KOHLRAUSCH, Heinrich Friedrich Theodor.","GUINEFOLLE, A.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001999689,British Library HMNTS 9327.f.4.
7228,3539046,,Boston,1880-1902,Rockwell & Churchill,Suffolk Deeds. [Edited by W. B. Trask.],,"TRASK, William Blake.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003539046,British Library HMNTS 10408.p.3.
5602,2742216,,London,1869,,"One Year, or a Story of Three Homes. By F. M. P., Author of “Tales of the South of France” [i.e. Frances Mary Peard]. With ... illustrations","P., F. M.","PEARD, Frances Mary.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002742216,British Library HMNTS 12620.bbb.26.
3512,1704007,,Stockholm,"1896, [1895-96]",,"Genom Sveriges Bygder. Skildringar af vårt land och folk ... Tredje upplagan, genomsedd och tillökad af J. P. Velander. Med 545 illustrationer","HOFBERG, Johan Herman.","VELANDER, J. P.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001704007,British Library HMNTS 10281.h.35.
8252,4029064,,London,1869,,"Mountain Adventures in the various countries of the world. Selected from the narratives of celebrated travellers (... founded on a compilation made by Z. and M., and published under the title of “Les Ascensions célèbres”). With thirty-seven illustrations","ZURCHER, Frédéric - and MARGOLLÉ (Élie)","MARGOLLÉ, Élie.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum004029064,British Library HMNTS 10026.c.13.
7423,3623080,,London,1879,"Sampson Low, etc.","Eldmuir: an Art-Story of Scottish Home-Life, Scenery and Incident. By J. Thompson, Junior. Illustrated with engravings after paintings of J. Thompson [Senior]. With an introductory notice by Ll. Jewitt","THOMPSON, Jacob - the Younger","JEWITT, Llewellynn Frederick William.|THOMPSON, Jacob - the Elder",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003623080,British Library HMNTS 12636.de.2.
5460,2677365,,London,1871,,"Not Wooed, but Won. A novel. By the author of 'Lost Sir Massingberd,' etc. [James Payn.]",,"Payn, James",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002677365,British Library HMNTS 12628.k.9.
4300,2110349,"New edition, with corrections left by the author, and with notes and additions by H. Lee [the Younger].",Washington,1827,,[Memoirs of the War in the Southern Department of the United States.],"LEE, Henry - of Virginia, the Elder","LEE, Henry - of Virginia, the Younger",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002110349,British Library HMNTS 9604.d.28.|British Library HMNTS 1447.k.10.
2835,1384312,[Another edition.],London,[1897],Cassell & Co.,"[The Holy Land and the Bible. A book of Scripture illustrations gathered in Palestine, etc.]","GEIKIE, John Cunningham.","HARPER, Henry Andrew.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001384312,British Library HMNTS 10077.i.19.
7295,3571445,,London,1892-96,J. Murray,The History of P. Cornelius Tacitus. Translated ... with an introduction and notes ... by A. W. Quill: Historiæ. English,"Tacitus, Cornelius.","QUILL, Albert William.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003571445,British Library HMNTS 9041.g.1.
1950,872421,,Lewes,1766,William Lee,The Coronation of David. [A play.] Written in M.DCC.LXIII. By a Sussex clergyman [i.e. Joseph Wise]. MS. note: Appendix,,"WISE, Joseph.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000872421,British Library HMNTS 11779.bb.48.
4530,2265444,,Paris,1872-75,,"Paris historique, anecdotique et pittoresque. Dessins de ... Clerget, C. Vernier, etc","LOUFT, Charles.","CLERGET, Hubert.|VERNIER, Charles - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002265444,British Library HMNTS 10168.i.10.
2151,951084,,Macmillan & Co,1895,London & New York,Sybil ... Illustrated by F. Pegram. With an introduction by H. D. Traill: Sybil,"Disraeli, Benjamin - Earl of Beaconsfield","TRAILL, Henry Duff.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000951084,British Library HMNTS 012621.h.18.
3538,1721443,,London,1804,,The Sports of the Genii. [Etchings from drawings by Miss Susan Macdonald. With verses by A. Home.],"HOME, afterwards HUNTER, Anne.","MACDONALD, Susan.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001721443,British Library HMNTS 11642.f.37.
3831,1862068,,London,1876,,"Ginx's Baby. ... Thirty-sixth edition, illustrated by F. Barnard","JENKINS, John Edward.","BARNARD, Frederick.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001862068,British Library HMNTS 12638.d.4.
468,185148,,Edinburgh,1875,William Ballingall,"Classic Scenes in Scotland, by modern artists ... Engraved [and edited, with descriptive letter-press] by W. Ballingall","BALLINGALL, William.","Harvey, George|Paton, J. Noël (Joseph Noël) - Sir",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000185148,British Library HMNTS 10370.ff.18.
4198,2061647,,Edinburgh,1810,,"The Chronicle of Fife; being the diary of J. L. of Newton, from 1649 to 1672. [Edited by Archibald Constable.]","LAMONT, John - of Newton, Fife","CONSTABLE, Archibald - the Elder",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002061647,British Library HMNTS 807.e.15.
4483,2208952,,London,1743,,Pastoral Stanzas ... on ... the Marriage of C. Phipps ... with the Honourable Miss Lepel Hervey,"LOCKMAN, John.","PHIPPS, Constantine - Baron Mulgrave",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002208952,British Library HMNTS 643.k.5.(2.)|British Library HMNTS T.655.(8.)
4356,2137545,,Nancy,1845,,"Le Département des Vosges, statistique, historique, et administrative ... Avec une carte du département dressée par M. Hogard","LEPAGE, Henri - and CHARTON (Ch.)","CHARTON, Charles - Auteur de l'annuaire statistique des Vosges|Hogard, Henri.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002137545,British Library HMNTS 010171.k.20.
434,171846,,Boston,1880,"Houghton, Mifflin & Co.","Historical Sketches of Andover ... Massachusetts. [With an introduction on Prehistoric Andover, signed: G. F. W., i.e. George F. Wright. With plates.]","BAILEY, Sarah Loring.","WRIGHT, George Frederick.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000171846,British Library HMNTS 10412.ff.19.
4476,2203597,,Paris,1867,,"La Suède, son développement moral, industriel et commercial d'après des documents officiels ... Traduit par L. de Lilliehöök, etc","LJUNGBERG, Carl Edvard.","LILLIEHÖÖK, L. de.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002203597,British Library HMNTS 10281.h.27.
5446,2671037,,London,1868,,A Walking Tour in Normandy. By the Author of “All round Ireland on foot” [W. W. Barry]: Appendix,,"BARRY, William Whittaker.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002671037,British Library HMNTS 10169.b.9.
2632,1261484,,Toulouse,1898,,"Censier du pays de Foix à la fin du XIVe siècle Assiette des impôts directs établie selon l'ordonnance de Gaston Phébus en 1385. [Edited, with introduction, by] C. Barrière-Flavy",,"BARRIÈRE-FLAVY, C.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001261484,British Library HMNTS 010168.ff.12.
6207,3045760,,London,"1836, 1837",,"Contributions to Modern History, from the British Museum and the State Paper Office. vol. I. Queen Elizabeth and Mary Queen of Scots. (vol. 2. Frederick II. and his times.) [Translated from the “Beiträge zur neueren Geschichte,” etc.]: Beiträge zur neueren Geschichte aus dem britischen Museum und Reichsarchive","RAUMER, Friedrich Ludwig Georg von.",Mary - Queen of Scots,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003045760,British Library HMNTS 807.c.18.
7177,3502878,New edition. [With preface signed A. M.],Inverness,1885,A. & W. Mackenzie,"[Sketches of the character, manners, and present state of the Highlanders of Scotland: with details of the Military Service of the Highland Regiments.]","STEWART, David - Major-General","M., A.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003502878,British Library HMNTS 10370.bb.43.
2539,1221318,,London,1870,,"Margarita; or, the Queen of Night. A novel ... Freely translated from the Spanish of Messrs. Fernandez and Gonzalez [or rather M. F. y G.], by Viscount Pollington","FERNANDEZ Y GONZALEZ, Manuel.","SAVILE, John Horace - Viscount Pollington",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum001221318,British Library HMNTS 12627.f.9.
7356,3594253,,Teignmouth,[1893],Teignmouth Printing & Publishing Co.,"The Teignmouth Guide, etc. [With illustrations.]",,"Carrington, N. T. (Noel Thomas)",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003594253,British Library HMNTS 10358.g.44.
7964,3914630,,Manchester,[1827],,"Report of the proceedings of a meeting of Police Commissioners, held in the Town Hall, Manchester ... 21st November, 1827. With remarks on the conduct of the Chairman [M. Harbottle], Mr. Wanklyn, and others. By W. W","WHITWORTH, William - of Manchester","HARBOTTLE, Michael.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003914630,British Library HMNTS 1303.d.7.
7582,3696653,,London,1857,J. W. Thomas,"Napoleon's Barber. A drama ... founded on the French of “Depeuty and Maillan” [or rather, on “Le Perruquier de l'Empereur” by C. D. Dupeuty and J. de Mallian], etc","TWEDDELL, Edward Washington.","DUPEUTY, Charles Désiré - and MALLIAN (Julien de)|MALLIAN, Julien de.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum003696653,British Library HMNTS 11781.e.13.
